Categoría,Alimento,Calorías,Proteínas,Grasa,Carbohidratos,Fibra,Colesterol,Unidad (g),Marca/Supermercado
Aceites y grasas,Aceite de cacahuete,900,0,100,0,0,0,13.8,
Aceites y grasas,Aceite de girasol,900,0,100,0,0,0,13.8,
Aceites y grasas,Aceite de maíz,900,0,100,0,0,0,13.8,
Aceites y grasas,Aceite de oliva,900,0,100,0,0,0,13.8,
Aceites y grasas,Aceite de soja,900,0,100,0,0,0,13.8,
Aceites y grasas,Aceitunas,149,1,13,8,0,0,13.5,
Aceites y grasas,Manteca,670,10,70,0,0,100,14.4,
Aceites y grasas,Mantequilla,752,1,83,1,0,250,14.2,
Aceites y grasas,Margarina vegetal,752,0,84,0,0,0,14.2,
Azúcares y dulces,Azúcar,380,0,0,100,0,0,12.8,
Azúcares y dulces,"Cacao en polvo, con azúcar",366,6,6,77,0,0,7.5,
Azúcares y dulces,Chocolate con leche,550,6,34,56,0,74,15.8,
Azúcares y dulces,Chocolate sin leche,530,2,30,63,0,74,15.8,
Azúcares y dulces,Compota,66,0,0,17,2,0,15.3,
Azúcares y dulces,Crema de chocolate con avellanas,549,6,33,61,1,2,16.5,
Azúcares y dulces,Membrillo dulce,215,0,0,57,0,0,15.8,
Azúcares y dulces,Mermelada con azúcar,280,1,0,70,0,0,15.8,
Azúcares y dulces,Mermelada sin azúcar,145,0,0,35,0,0,15.8,
Azúcares y dulces,Miel,300,1,0,75,0,0,21.3,
Bebidas,Aguardiente,280,0,0,0,0,0,184.0,
Bebidas,Anís,312,0,0,30,0,0,184.0,
Bebidas,Batido lácteo cacao,100,4,5,11,0,14,204.0,
Bebidas,Brandy,243,0,0,0,0,0,184.0,
Bebidas,"Cacao en polvo sin azúcar, a la taza",439,21,22,40,4,0,100.0,
Bebidas,Café,5,0,0,1,0,0,200.0,
Bebidas,Cava,65,0,0,0,0,0,196.0,
Bebidas,Cerveza negra,37,0,0,4,0,0,200.0,
Bebidas,Cerveza rubia,45,0,0,4,0,0,200.0,
Bebidas,Coñac,243,0,0,0,0,0,184.0,
Bebidas,Ginebra,244,0,0,0,0,0,184.0,
Bebidas,Leche de almendras,335,5,11,54,0,0,210.0,
Bebidas,"Malta tostada en polvo, con azúcar",374,6,0,87,0,0,100.0,
Bebidas,Refrescos carbonatados,48,0,0,12,0,0,200.0,
Bebidas,Ron,244,0,0,0,0,0,184.0,
Bebidas,Sidra dulce,40,0,0,5,0,0,200.0,
Bebidas,Sidra seca,40,0,0,0,0,0,200.0,
Bebidas,Té,2,0,0,0,0,0,200.0,
Bebidas,Vermut dulce,160,0,0,14,0,0,198.0,
Bebidas,Vino de mesa,60,0,0,0,0,0,198.0,
Bebidas,"Vino dulce, Jerez",160,0,0,14,0,0,198.0,
Bebidas,Vino Oporto,160,0,0,14,0,0,198.0,
Bebidas,Whisky,244,0,0,0,0,0,184.0,
"Carnes, aves y embutidos",Bacon,665,8,69,1,0,100,,
"Carnes, aves y embutidos","Buey, filete graso",303,17,25,0,0,65,,
"Carnes, aves y embutidos","Buey, filete semigraso",176,20,11,0,0,65,,
"Carnes, aves y embutidos","Buey, solomillo",111,20,3,0,0,20,,
"Carnes, aves y embutidos",Butifarra,326,13,30,1,0,100,,
"Carnes, aves y embutidos",Butifarra cocida,390,14,36,0,0,100,,
"Carnes, aves y embutidos",Butifarra fresca/salchichas,326,13,30,1,0,100,,
"Carnes, aves y embutidos",Caballo,110,21,2,1,0,78,,
"Carnes, aves y embutidos","Cerdo, chuleta",330,15,30,0,0,72,,
"Carnes, aves y embutidos","Cerdo, hígado",154,21,7,2,0,260,,
"Carnes, aves y embutidos","Cerdo, lomo",290,16,25,0,0,72,,
"Carnes, aves y embutidos",Chicharrón,601,22,57,0,0,100,,
"Carnes, aves y embutidos",Chorizo/Sobrasada,468,18,44,0,0,100,,
"Carnes, aves y embutidos",Codorniz,114,25,1,1,0,0,,
"Carnes, aves y embutidos",Conejo,162,22,8,0,0,65,,
"Carnes, aves y embutidos","Cordero, costillas",215,18,17,0,0,78,,
"Carnes, aves y embutidos","Cordero, hígado",132,21,4,3,0,300,,
"Carnes, aves y embutidos","Cordero, pierna",248,17,19,0,0,78,,
"Carnes, aves y embutidos",Foie-gras,518,7,50,10,0,300,,
"Carnes, aves y embutidos",Gallina,369,24,30,0,0,75,,
"Carnes, aves y embutidos",Jamón País,380,17,35,0,0,62,,
"Carnes, aves y embutidos",Jamón York,289,21,22,0,0,89,,
"Carnes, aves y embutidos",Lomo embuchado,380,17,35,0,0,62,,
"Carnes, aves y embutidos",Mortadela,265,19,21,0,0,100,,
"Carnes, aves y embutidos",Pato,200,22,14,1,0,75,,
"Carnes, aves y embutidos",Pavo,223,32,10,0,0,93,,
"Carnes, aves y embutidos",Perdiz,114,25,1,1,0,65,,
"Carnes, aves y embutidos",Pies de cerdo,290,16,25,1,0,6,,
"Carnes, aves y embutidos",Pollo deshuesado,85,14,3,0,0,61,,
"Carnes, aves y embutidos",Pollo sin deshuesar,121,21,4,0,0,87,,
"Carnes, aves y embutidos","Pollo, hígado",129,20,4,3,0,300,,
